word_count,char_count,has_urgency_keyword,exclamation_count,question_mark_count,caps_ratio,sentiment_polarity,mention_count,priority
25.0,125.0,0,0.0,0.0,0.0,0.0,2.0,URGENT
19.0,105.0,0,0.0,0.0,0.15789473684210525,0.0,0.0,NORMAL
14.0,82.0,0,4.0,0.0,0.07142857142857142,-1.0,0.0,URGENT
36.0,166.0,0,1.0,0.0,0.0,0.02777777777777778,1.0,NORMAL
19.0,101.0,0,0.0,0.0,0.0,0.0,2.0,NORMAL
14.0,84.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
25.0,152.0,0,0.0,0.0,0.0,0.4,1.0,NORMAL
24.0,117.0,1,0.0,1.0,0.0,-0.1,0.0,URGENT
18.0,94.0,1,0.0,0.0,0.0,0.2,0.0,URGENT
18.0,88.0,0,0.0,1.0,0.0,-0.4,0.0,NORMAL
21.0,116.0,0,1.0,0.0,0.0,-0.125,0.0,NORMAL
8.0,53.0,0,0.0,0.0,0.0,-0.6,0.0,NORMAL
1.0,36.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
9.0,43.0,0,0.0,0.0,0.0,0.65,0.0,NORMAL
18.0,101.0,0,0.0,1.0,0.0,-0.5,0.0,NORMAL
25.0,153.0,1,1.0,2.0,0.0,-0.8749999999999998,1.0,URGENT
15.0,80.0,1,0.0,0.0,0.0,0.25,0.0,URGENT
1.0,7.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
6.0,22.0,0,0.0,0.0,0.16666666666666666,0.0,0.0,URGENT
15.0,79.0,0,2.0,0.0,0.0,0.2,0.0,URGENT
8.0,50.0,0,1.0,0.0,0.0,0.0,1.0,URGENT
11.0,60.0,1,0.0,2.0,0.09090909090909091,0.0,0.0,URGENT
19.0,88.0,0,0.0,0.0,0.0,0.35,0.0,URGENT
15.0,74.0,0,0.0,1.0,0.06666666666666667,-0.24583333333333335,0.0,URGENT
25.0,148.0,0,0.0,0.0,0.0,-0.8,2.0,NORMAL
17.0,102.0,0,0.0,0.0,0.0,-0.78,1.0,NORMAL
22.0,126.0,1,0.0,0.0,0.045454545454545456,0.0,0.0,URGENT
